# Total of 150 particles
# Generated on : 2014-12-13 15:46:52.553250
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  1  0.996999 14.379183  -14.149186  0.000000  0.009803  0.049030  0.000000  -0.298893  0.954287  0.000000  0.000000
1  2  0.961555 31.622777  0.000000  0.000000  0.000000  0.000000  0.000000  -1.000000  0.000000  0.000000  0.000000
2  2  1.019180 31.594665  1.333107  0.000000  0.000000  0.000000  0.000000  -0.999111  -0.042157  0.000000  0.000000
3  2  1.022674 31.510378  2.663843  0.000000  0.000000  0.000000  0.000000  -0.996446  -0.084238  0.000000  0.000000
4  2  0.961034 31.370068  3.989843  0.000000  0.000000  0.000000  0.000000  -0.992009  -0.126170  0.000000  0.000000
5  2  1.077207 31.173982  5.308750  0.000000  0.000000  0.000000  0.000000  -0.985808  -0.167877  0.000000  0.000000
6  2  0.990500 30.922471  6.618217  0.000000  0.000000  0.000000  0.000000  -0.977854  -0.209286  0.000000  0.000000
7  2  0.980625 30.615980  7.915918  0.000000  0.000000  0.000000  0.000000  -0.968162  -0.250323  0.000000  0.000000
8  2  1.043757 30.255056  9.199544  0.000000  0.000000  0.000000  0.000000  -0.956749  -0.290915  0.000000  0.000000
9  2  1.020989 29.840338  10.466814  0.000000  0.000000  0.000000  0.000000  -0.943634  -0.330990  0.000000  0.000000
10  2  0.977867 29.372566  11.715475  0.000000  0.000000  0.000000  0.000000  -0.928842  -0.370476  0.000000  0.000000
11  2  1.057516 28.852571  12.943305  0.000000  0.000000  0.000000  0.000000  -0.912398  -0.409303  0.000000  0.000000
12  2  0.978528 28.281277  14.148123  0.000000  0.000000  0.000000  0.000000  -0.894332  -0.447403  0.000000  0.000000
13  2  0.967189 27.659699  15.327786  0.000000  0.000000  0.000000  0.000000  -0.874676  -0.484707  0.000000  0.000000
14  2  0.912829 26.988944  16.480197  0.000000  0.000000  0.000000  0.000000  -0.853465  -0.521150  0.000000  0.000000
15  2  1.083258 26.270203  17.603307  0.000000  0.000000  0.000000  0.000000  -0.830737  -0.556665  0.000000  0.000000
16  2  1.052627 25.504755  18.695119  0.000000  0.000000  0.000000  0.000000  -0.806531  -0.591192  0.000000  0.000000
17  2  1.060907 24.693961  19.753691  0.000000  0.000000  0.000000  0.000000  -0.780892  -0.624667  0.000000  0.000000
18  2  0.991263 23.839261  20.777142  0.000000  0.000000  0.000000  0.000000  -0.753864  -0.657031  0.000000  0.000000
19  2  1.063850 22.942176  21.763652  0.000000  0.000000  0.000000  0.000000  -0.725495  -0.688227  0.000000  0.000000
20  2  1.065188 22.004301  22.711467  0.000000  0.000000  0.000000  0.000000  -0.695837  -0.718200  0.000000  0.000000
21  2  0.946044 21.027303  23.618902  0.000000  0.000000  0.000000  0.000000  -0.664942  -0.746895  0.000000  0.000000
22  2  1.040736 20.012919  24.484344  0.000000  0.000000  0.000000  0.000000  -0.632864  -0.774263  0.000000  0.000000
23  2  1.029974 18.962953  25.306253  0.000000  0.000000  0.000000  0.000000  -0.599661  -0.800254  0.000000  0.000000
24  2  1.071016 17.879271  26.083168  0.000000  0.000000  0.000000  0.000000  -0.565392  -0.824822  0.000000  0.000000
25  2  1.042662 16.763801  26.813709  0.000000  0.000000  0.000000  0.000000  -0.530118  -0.847924  0.000000  0.000000
26  2  1.056622 15.618525  27.496576  0.000000  0.000000  0.000000  0.000000  -0.493901  -0.869518  0.000000  0.000000
27  2  0.921851 14.445480  28.130555  0.000000  0.000000  0.000000  0.000000  -0.456806  -0.889566  0.000000  0.000000
28  2  0.968360 13.246752  28.714518  0.000000  0.000000  0.000000  0.000000  -0.418899  -0.908033  0.000000  0.000000
29  2  0.910399 12.024471  29.247429  0.000000  0.000000  0.000000  0.000000  -0.380247  -0.924885  0.000000  0.000000
30  2  0.900372 10.780811  29.728338  0.000000  0.000000  0.000000  0.000000  -0.340919  -0.940093  0.000000  0.000000
31  2  1.073813 9.517984  30.156392  0.000000  0.000000  0.000000  0.000000  -0.300985  -0.953629  0.000000  0.000000
32  2  0.987368 8.238234  30.530829  0.000000  0.000000  0.000000  0.000000  -0.260516  -0.965470  0.000000  0.000000
33  2  0.945837 6.943836  30.850983  0.000000  0.000000  0.000000  0.000000  -0.219583  -0.975594  0.000000  0.000000
34  2  0.909294 5.637093  31.116285  0.000000  0.000000  0.000000  0.000000  -0.178261  -0.983983  0.000000  0.000000
35  2  1.005581 4.320327  31.326263  0.000000  0.000000  0.000000  0.000000  -0.136621  -0.990623  0.000000  0.000000
36  2  0.915410 2.995879  31.480545  0.000000  0.000000  0.000000  0.000000  -0.094738  -0.995502  0.000000  0.000000
37  2  1.077509 1.666105  31.578855  0.000000  0.000000  0.000000  0.000000  -0.052687  -0.998611  0.000000  0.000000
38  2  0.906127 0.333369  31.621019  0.000000  0.000000  0.000000  0.000000  -0.010542  -0.999944  0.000000  0.000000
39  2  1.053042 -0.999960  31.606963  0.000000  0.000000  0.000000  0.000000  0.031621  -0.999500  0.000000  0.000000
40  2  1.065006 -2.331511  31.536710  0.000000  0.000000  0.000000  0.000000  0.073729  -0.997278  0.000000  0.000000
41  2  0.904745 -3.658916  31.410386  0.000000  0.000000  0.000000  0.000000  0.115705  -0.993284  0.000000  0.000000
42  2  1.017189 -4.979816  31.228215  0.000000  0.000000  0.000000  0.000000  0.157476  -0.987523  0.000000  0.000000
43  2  0.951450 -6.291863  30.990522  0.000000  0.000000  0.000000  0.000000  0.198966  -0.980006  0.000000  0.000000
44  2  1.036679 -7.592722  30.697729  0.000000  0.000000  0.000000  0.000000  0.240103  -0.970747  0.000000  0.000000
45  2  1.092663 -8.880082  30.350356  0.000000  0.000000  0.000000  0.000000  0.280813  -0.959763  0.000000  0.000000
46  2  0.981016 -10.151654  29.949022  0.000000  0.000000  0.000000  0.000000  0.321023  -0.947071  0.000000  0.000000
47  2  1.091120 -11.405176  29.494439  0.000000  0.000000  0.000000  0.000000  0.360663  -0.932696  0.000000  0.000000
48  2  1.041195 -12.638421  28.987417  0.000000  0.000000  0.000000  0.000000  0.399662  -0.916663  0.000000  0.000000
