# Total of 154 particles
# Generated on : 2015-05-14 16:27:26.950805
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  0  1.010030 0.708634  2.756451  9.586439  0.000000  0.000000  0.000000  0.974159  0.187501  -0.125924  0.000000
1  0  0.978387 2.058759  6.393359  7.408540  0.000000  0.000000  0.000000  0.035646  0.751670  -0.658575  0.000000
2  0  1.037728 -4.827550  -3.065980  8.203324  0.000000  0.000000  0.000000  -0.017648  0.939930  0.340912  0.000000
3  0  1.003187 -4.148529  -5.785638  7.022542  0.000000  0.000000  0.000000  0.807747  -0.589468  -0.008470  0.000000
4  0  0.929187 6.261442  2.719914  7.307285  0.000000  0.000000  0.000000  0.200175  0.849695  -0.487799  0.000000
5  0  1.086535 2.783505  5.057529  8.165384  0.000000  0.000000  0.000000  0.868753  0.229991  -0.438603  0.000000
6  0  1.082842 5.709534  0.653401  8.183782  0.000000  0.000000  0.000000  -0.239639  -0.940153  0.242250  0.000000
7  0  0.988092 -1.600606  4.769424  8.642375  0.000000  0.000000  0.000000  -0.443477  0.747446  -0.494623  0.000000
8  0  0.903372 3.978235  -0.144684  9.173479  0.000000  0.000000  0.000000  0.580219  0.778499  -0.239343  0.000000
9  0  0.971913 2.167138  -2.420750  9.457457  0.000000  0.000000  0.000000  -0.924580  0.260058  0.278429  0.000000
10  0  0.900159 2.212254  4.726048  8.530557  0.000000  0.000000  0.000000  0.875609  -0.481392  0.039624  0.000000
11  0  0.991760 2.347038  -4.128390  8.800444  0.000000  0.000000  0.000000  0.892014  -0.268306  -0.363761  0.000000
12  0  0.903384 0.684023  6.362972  7.684055  0.000000  0.000000  0.000000  -0.997306  0.023157  0.069603  0.000000
13  0  1.087203 -6.039822  0.045863  7.969846  0.000000  0.000000  0.000000  -0.771186  -0.255796  -0.582959  0.000000
14  0  0.905558 2.098565  6.834462  6.991864  0.000000  0.000000  0.000000  0.411895  0.586759  -0.697177  0.000000
15  0  1.030532 0.742713  -4.571754  8.862700  0.000000  0.000000  0.000000  -0.012571  -0.889083  -0.457573  0.000000
16  0  1.089136 -4.752755  -4.203680  7.729191  0.000000  0.000000  0.000000  0.853963  -0.431874  0.290227  0.000000
17  0  0.990480 -5.789966  0.678604  8.125010  0.000000  0.000000  0.000000  0.709612  0.532690  0.461186  0.000000
18  0  1.070943 1.050014  4.495162  8.870794  0.000000  0.000000  0.000000  0.917483  0.300348  -0.260798  0.000000
19  0  1.073713 -5.405445  -0.835331  8.371582  0.000000  0.000000  0.000000  0.148188  -0.988955  -0.002996  0.000000
20  0  0.971976 6.164473  -2.519188  7.460091  0.000000  0.000000  0.000000  0.237263  0.962832  0.129081  0.000000
21  0  1.094933 6.441739  3.099011  6.992863  0.000000  0.000000  0.000000  0.759743  -0.153468  -0.631853  0.000000
22  0  1.025345 -3.974005  -0.498512  9.162902  0.000000  0.000000  0.000000  -0.903927  0.193279  -0.381523  0.000000
23  0  0.993354 -2.399423  -4.825515  8.423608  0.000000  0.000000  0.000000  -0.011721  0.869086  0.494522  0.000000
24  0  0.903339 -1.328863  -2.211869  9.661354  0.000000  0.000000  0.000000  -0.214462  0.958104  0.189850  0.000000
25  0  0.981695 -2.394777  -4.007845  8.843202  0.000000  0.000000  0.000000  -0.947909  0.293560  -0.123653  0.000000
26  0  0.948887 -5.522845  -1.599594  8.181656  0.000000  0.000000  0.000000  0.354918  0.842918  0.404378  0.000000
27  0  1.053496 -4.528082  -5.069961  7.334301  0.000000  0.000000  0.000000  0.882594  -0.138205  0.449363  0.000000
28  0  1.075332 3.527794  0.929592  9.310775  0.000000  0.000000  0.000000  0.868481  -0.402882  -0.288838  0.000000
29  0  1.046472 -2.317762  0.574715  9.710699  0.000000  0.000000  0.000000  0.964326  0.144811  0.221596  0.000000
30  0  1.057866 3.880985  -4.799585  7.867778  0.000000  0.000000  0.000000  0.904022  0.364275  -0.223714  0.000000
31  0  0.989742 -3.270375  -0.000853  9.450114  0.000000  0.000000  0.000000  0.797670  0.536185  0.276096  0.000000
32  0  1.069998 -5.428380  -3.348221  7.702084  0.000000  0.000000  0.000000  -0.393811  0.911497  0.118687  0.000000
33  0  1.057306 4.564081  -0.398766  8.888766  0.000000  0.000000  0.000000  -0.791929  0.437224  0.426244  0.000000
34  0  1.036788 2.961276  4.048330  8.651120  0.000000  0.000000  0.000000  0.609045  -0.777748  0.155475  0.000000
35  0  0.967783 -3.822472  -0.805858  9.205395  0.000000  0.000000  0.000000  -0.859273  -0.335443  -0.386172  0.000000
36  0  0.929392 -6.314872  -2.431219  7.362850  0.000000  0.000000  0.000000  -0.213253  0.967409  0.136539  0.000000
37  0  1.068237 1.491075  4.210036  8.947195  0.000000  0.000000  0.000000  0.985924  -0.132509  -0.101956  0.000000
38  0  0.950202 6.039640  3.735494  7.040514  0.000000  0.000000  0.000000  -0.126210  -0.827393  0.547259  0.000000
39  0  0.992925 2.027697  -4.252522  8.820686  0.000000  0.000000  0.000000  -0.960176  -0.263162  0.093852  0.000000
40  0  0.992831 0.459809  5.512607  8.330650  0.000000  0.000000  0.000000  0.521639  -0.724464  0.450605  0.000000
41  0  1.048665 6.668229  -0.711999  7.418071  0.000000  0.000000  0.000000  -0.136934  -0.990183  0.028053  0.000000
42  0  0.956617 -4.971355  4.370330  7.495722  0.000000  0.000000  0.000000  -0.380563  0.666534  -0.641018  0.000000
43  0  1.044611 -5.832050  -3.278929  7.432080  0.000000  0.000000  0.000000  -0.629213  0.761002  -0.158008  0.000000
44  0  1.019687 -2.110217  -5.574405  8.029508  0.000000  0.000000  0.000000  0.335663  0.730172  0.595129  0.000000
45  0  0.976200 1.244793  0.711678  9.896666  0.000000  0.000000  0.000000  0.426953  -0.904203  0.011320  0.000000
46  0  0.952424 -4.006616  3.579818  8.433975  0.000000  0.000000  0.000000  -0.030378  0.914816  -0.402727  0.000000
47  0  0.978875 1.340158  1.336848  9.819206  0.000000  0.000000  0.000000  0.960143  -0.262772  -0.095268  0.000000
48  0  1.025156 1.706008  6.731223  7.195844  0.000000  0.000000  0.000000  -0.611556  0.644943  -0.458311  0.000000
49  0  0.986367 -5.430250  4.292913  7.216875  0.000000  0.000000  0.000000  0.009286  0.862459  -0.506041  0.000000
50  0  1.015055 4.644693  3.148515  8.277299  0.000000  0.000000  0.000000  -0.876047  0.026515  0.481496  0.000000
51  0  0.960548 7.069224  1.027362  6.997899  0.000000  0.000000  0.000000  0.598960  0.439257  -0.669552  0.000000
52  0  0.992778 1.318618  -6.391035  7.577330  0.000000  0.000000  0.000000  0.212348  0.764874  0.608174  0.000000
53  0  1.081747 -3.618372  -5.687772  7.386246  0.000000  0.000000  0.000000  -0.928686  0.150788  -0.338830  0.000000
54  0  1.084142 -6.393808  -0.330504  7.681795  0.000000  0.000000  0.000000  -0.656605  -0.496381  -0.567870  0.000000
55  0  1.059773 -5.283163  1.133181  8.414516  0.000000  0.000000  0.000000  -0.842952  0.048533  -0.535795  0.000000
