# Total of 154 particles
# Generated on : 2015-05-14 16:37:13.966076
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  0  0.905303 -2.279055  -5.861534  7.774852  0.000000  0.000000  0.000000  0.173426  -0.810168  -0.559956  0.000000
1  0  1.054891 3.849265  -0.999676  9.175173  0.000000  0.000000  0.000000  0.733791  -0.569826  -0.369933  0.000000
2  0  0.905718 -6.532225  0.684476  7.540658  0.000000  0.000000  0.000000  -0.112291  -0.993650  -0.007079  0.000000
3  0  1.015572 1.138963  2.795011  9.533660  0.000000  0.000000  0.000000  0.987928  0.069561  -0.138419  0.000000
4  0  0.953490 1.381789  0.627351  9.884184  0.000000  0.000000  0.000000  -0.635550  0.771027  0.039911  0.000000
5  0  1.010472 -5.947813  -2.209862  7.729167  0.000000  0.000000  0.000000  0.746964  -0.507291  0.429769  0.000000
6  0  0.965979 -0.683638  6.759126  7.338042  0.000000  0.000000  0.000000  0.919431  0.328194  -0.216645  0.000000
7  0  0.924871 0.016738  5.221236  8.528682  0.000000  0.000000  0.000000  0.682645  0.622637  -0.382516  0.000000
8  0  1.035140 2.951654  -5.529875  7.791548  0.000000  0.000000  0.000000  0.125066  0.830833  0.542287  0.000000
9  0  0.929230 2.747934  -2.181434  9.364305  0.000000  0.000000  0.000000  -0.710940  -0.701803  0.045137  0.000000
10  0  1.025756 0.961504  -2.774850  9.559065  0.000000  0.000000  0.000000  0.834454  0.546010  0.074564  0.000000
11  0  0.931101 -4.095998  -3.838782  8.275660  0.000000  0.000000  0.000000  -0.609391  -0.559936  -0.561350  0.000000
12  0  1.084081 -5.075956  3.379744  7.925402  0.000000  0.000000  0.000000  0.813233  -0.115911  0.570278  0.000000
13  0  0.909483 3.670343  4.990881  7.849821  0.000000  0.000000  0.000000  0.288876  -0.863310  0.413819  0.000000
14  0  0.983556 -5.740298  1.341563  8.077697  0.000000  0.000000  0.000000  -0.313714  0.875184  -0.368289  0.000000
15  0  0.975525 -5.922918  -2.468533  7.669771  0.000000  0.000000  0.000000  0.775235  0.084784  0.625957  0.000000
16  0  1.081518 -6.608092  -2.461731  7.090345  0.000000  0.000000  0.000000  0.126416  0.894680  0.428446  0.000000
17  0  0.902860 -4.738470  -2.586947  8.417518  0.000000  0.000000  0.000000  0.229385  0.886618  0.401611  0.000000
18  0  1.097227 -1.814411  0.681921  9.810346  0.000000  0.000000  0.000000  -0.558195  0.814170  -0.159831  0.000000
19  0  0.939878 3.210572  -2.859280  9.028662  0.000000  0.000000  0.000000  -0.936962  0.042944  0.346781  0.000000
20  0  1.017416 -4.817211  4.674912  7.412131  0.000000  0.000000  0.000000  0.833498  0.505608  0.222806  0.000000
21  0  1.077686 -2.340347  -3.931458  8.891930  0.000000  0.000000  0.000000  -0.119701  0.919286  0.374946  0.000000
22  0  0.916727 -0.986915  -1.981047  9.751997  0.000000  0.000000  0.000000  -0.343712  0.926458  0.153419  0.000000
23  0  1.008506 -3.352613  1.746829  9.257893  0.000000  0.000000  0.000000  -0.584216  0.732369  -0.349753  0.000000
24  0  0.976692 4.198280  2.736183  8.653771  0.000000  0.000000  0.000000  -0.527309  0.849577  -0.012804  0.000000
25  0  1.037598 -1.554017  2.642501  9.518520  0.000000  0.000000  0.000000  -0.217388  -0.949085  0.227991  0.000000
26  0  1.070785 4.726853  -4.164730  7.766073  0.000000  0.000000  0.000000  0.213804  0.909143  0.357416  0.000000
27  0  0.986931 3.842814  -1.611840  9.090366  0.000000  0.000000  0.000000  -0.277031  0.919133  0.280085  0.000000
28  0  0.939422 0.360658  -5.898549  8.067035  0.000000  0.000000  0.000000  -0.185580  0.789235  0.585379  0.000000
29  0  1.083233 -1.669977  -1.796866  9.694455  0.000000  0.000000  0.000000  -0.533760  0.843185  0.064338  0.000000
30  0  1.063192 -3.901569  5.006865  7.727164  0.000000  0.000000  0.000000  0.015266  -0.835594  0.549136  0.000000
31  0  0.979948 -6.728876  -0.726468  7.361690  0.000000  0.000000  0.000000  0.722991  -0.275181  0.633687  0.000000
32  0  0.998989 -4.487722  -5.341906  7.164104  0.000000  0.000000  0.000000  -0.634159  0.755202  0.165868  0.000000
33  0  1.099359 4.393272  -4.923390  7.513947  0.000000  0.000000  0.000000  0.577910  -0.485479  -0.655996  0.000000
34  0  0.958308 -3.875547  3.423762  8.559088  0.000000  0.000000  0.000000  0.819713  -0.296788  0.489885  0.000000
35  0  1.070861 -1.692474  -4.284924  8.875526  0.000000  0.000000  0.000000  -0.716738  -0.564618  -0.409261  0.000000
36  0  0.935168 -0.042537  0.225063  9.997377  0.000000  0.000000  0.000000  0.850874  0.525306  -0.008206  0.000000
37  0  1.058862 3.623064  4.043789  8.397689  0.000000  0.000000  0.000000  -0.513267  -0.665503  0.541906  0.000000
38  0  0.932830 0.954383  -0.476112  9.942961  0.000000  0.000000  0.000000  -0.747335  0.656390  0.103164  0.000000
39  0  1.042645 -0.191753  3.800799  9.247549  0.000000  0.000000  0.000000  -0.724639  -0.642545  0.249064  0.000000
40  0  1.002807 0.114433  6.938585  7.200204  0.000000  0.000000  0.000000  0.983812  -0.136596  0.115997  0.000000
41  0  1.079095 -4.598081  -2.893452  8.395570  0.000000  0.000000  0.000000  0.289279  -0.942663  -0.166447  0.000000
