# Total of 3183 particles
# Generated on : 2014-12-14 12:33:40.785577
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  1  0.797342 40.866935  40.013954  0.000000  0.000000  0.000000  0.000000  -0.811317  0.584607  0.000000  0.000000
1  1  1.041678 34.184219  -33.448795  0.000000  0.000000  0.000000  0.000000  0.312714  -0.949847  0.000000  0.000000
2  1  1.096688 8.408744  -42.110153  0.000000  0.000000  -0.000000  0.000000  -0.307818  0.951445  0.000000  0.000000
3  1  0.929080 -30.236481  -30.001340  0.000000  0.000000  0.000000  0.000000  0.516570  -0.856245  0.000000  0.000000
4  1  1.160430 47.476904  7.446944  0.000000  0.000000  0.000000  0.000000  -0.047149  -0.998888  0.000000  0.000000
5  1  0.811198 -37.764331  23.022944  0.000000  0.000000  0.000000  0.000000  -0.516893  0.856050  0.000000  0.000000
6  1  0.982422 -30.119845  7.372030  0.000000  -0.000000  -0.000000  0.000000  0.988909  -0.148521  0.000000  0.000000
7  1  0.783803 36.097841  20.255565  0.000000  -0.000000  0.000000  0.000000  0.810802  0.585320  0.000000  0.000000
8  1  0.935250 45.559842  27.384027  0.000000  0.000000  -0.000000  0.000000  0.486499  -0.873681  0.000000  0.000000
9  1  1.237566 -32.873535  -28.185140  0.000000  -0.000000  0.000000  0.000000  0.043949  0.999034  0.000000  0.000000
10  1  0.918582 4.431376  -30.615875  0.000000  -0.000000  0.000000  0.000000  0.779570  0.626316  0.000000  0.000000
11  1  0.955337 -14.241827  -48.500170  0.000000  -0.000000  0.000000  0.000000  -0.565638  0.824654  0.000000  0.000000
12  1  1.018617 -0.288671  36.329979  0.000000  0.000000  -0.000000  0.000000  -0.388536  0.921433  0.000000  0.000000
13  1  1.243579 -28.703621  47.142228  0.000000  -0.000000  0.000000  0.000000  0.976395  -0.215995  0.000000  0.000000
14  1  1.011551 -31.835656  34.332884  0.000000  0.000000  0.000000  0.000000  -0.196427  -0.980519  0.000000  0.000000
15  1  1.041583 -24.189081  33.651845  0.000000  -0.000000  0.000000  0.000000  0.997627  -0.068850  0.000000  0.000000
