# Total of 1149 particles
# Generated on : 2015-01-25 16:36:04.926673
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  1  0.981490 14.342062  20.685911  0.000000  -0.035608  0.035101  0.000000  0.864302  0.502974  0.000000  0.000000
1  1  1.046713 7.141740  8.783443  0.000000  -0.045873  0.019891  0.000000  -0.844388  0.535732  0.000000  0.000000
2  1  0.984789 -2.574244  -25.987092  0.000000  0.023932  0.043901  0.000000  0.177751  -0.984076  0.000000  0.000000
3  1  1.129316 6.119668  -5.365312  0.000000  0.028017  -0.041413  0.000000  0.997608  -0.069119  0.000000  0.000000
4  1  1.068609 3.031448  -12.984603  0.000000  0.029457  0.040401  0.000000  -0.046170  -0.998934  0.000000  0.000000
5  1  0.933273 -19.064329  -12.580207  0.000000  -0.049366  0.007935  0.000000  -0.826021  0.563639  0.000000  0.000000
6  1  1.107117 11.837841  -16.080548  0.000000  0.042963  0.025577  0.000000  -0.966240  -0.257642  0.000000  0.000000
7  1  0.922183 16.508656  4.150964  0.000000  -0.041557  0.027804  0.000000  -0.999516  0.031124  0.000000  0.000000
8  1  1.112460 -4.035846  -17.346549  0.000000  -0.046484  0.018419  0.000000  -0.550101  0.835098  0.000000  0.000000
9  1  1.133992 3.052153  -19.746130  0.000000  -0.028921  -0.040787  0.000000  0.556345  0.830951  0.000000  0.000000
10  1  0.854913 17.223091  12.407171  0.000000  0.028888  0.040810  0.000000  0.237015  0.971506  0.000000  0.000000
11  1  0.941924 -15.722568  -16.649045  0.000000  -0.008445  0.049282  0.000000  0.988733  -0.149689  0.000000  0.000000
12  1  0.975713 -3.121392  15.179284  0.000000  0.002900  0.049916  0.000000  -0.955792  -0.294044  0.000000  0.000000
13  1  0.935329 -11.571124  -9.726929  0.000000  -0.004872  -0.049762  0.000000  -0.407601  -0.913160  0.000000  0.000000
14  1  0.999567 -20.565592  15.369633  0.000000  -0.022546  0.044628  0.000000  -0.429153  -0.903232  0.000000  0.000000
15  1  1.028528 19.469460  -13.580464  0.000000  0.049996  -0.000605  0.000000  0.998368  -0.057113  0.000000  0.000000
16  1  1.021404 25.277910  14.307911  0.000000  0.049964  0.001907  0.000000  0.871208  -0.490913  0.000000  0.000000
17  1  0.948538 5.997123  -21.068877  0.000000  0.049904  -0.003093  0.000000  -0.987898  -0.155103  0.000000  0.000000
18  1  1.141013 -9.869923  19.447286  0.000000  0.039829  0.030227  0.000000  0.794800  -0.606872  0.000000  0.000000
19  1  0.988215 -4.063980  17.936975  0.000000  0.044899  -0.022002  0.000000  0.388271  0.921545  0.000000  0.000000
20  1  0.883349 7.309835  4.571129  0.000000  -0.027009  0.042078  0.000000  -0.158325  -0.987387  0.000000  0.000000
21  1  0.912550 -0.029573  27.012476  0.000000  0.042179  0.026851  0.000000  0.989223  -0.146416  0.000000  0.000000
22  1  1.140839 -17.210960  -20.071653  0.000000  -0.043870  0.023988  0.000000  -0.989402  -0.145200  0.000000  0.000000
23  1  0.975383 -10.543560  -22.573074  0.000000  0.012358  0.048449  0.000000  -0.668340  0.743856  0.000000  0.000000
24  1  1.037199 -4.576749  -17.169268  0.000000  0.031345  0.038955  0.000000  -0.716626  0.697458  0.000000  0.000000
25  1  1.115558 -24.680913  -16.019501  0.000000  -0.028050  -0.041391  0.000000  -0.924350  -0.381545  0.000000  0.000000
26  1  0.933210 3.997532  27.419787  0.000000  -0.041494  0.027897  0.000000  0.948803  0.315869  0.000000  0.000000
27  1  1.029710 -9.830321  -8.574290  0.000000  0.017170  -0.046959  0.000000  -0.970097  0.242716  0.000000  0.000000
28  1  0.876958 24.613198  0.790814  0.000000  -0.038601  0.031780  0.000000  -0.995373  0.096086  0.000000  0.000000
29  1  0.879543 -25.103145  10.335875  0.000000  0.044476  0.022844  0.000000  0.976850  -0.213925  0.000000  0.000000
30  1  0.879082 9.513397  -19.867327  0.000000  -0.023250  -0.044266  0.000000  -0.721760  -0.692143  0.000000  0.000000
31  1  0.986833 -10.182239  -9.221304  0.000000  -0.049227  0.008760  0.000000  0.495787  -0.868444  0.000000  0.000000
32  1  1.020345 -3.868878  -19.858812  0.000000  0.024869  0.043376  0.000000  -0.941078  -0.338191  0.000000  0.000000
33  1  1.113129 -14.510221  -4.081735  0.000000  -0.038701  0.031659  0.000000  0.996129  -0.087899  0.000000  0.000000
34  1  0.941301 -3.023299  3.616028  0.000000  0.043533  -0.024595  0.000000  -0.592901  0.805275  0.000000  0.000000
35  1  1.012159 15.607968  -22.068080  0.000000  -0.021013  0.045370  0.000000  0.222294  -0.974980  0.000000  0.000000
36  1  1.034924 12.401749  -13.114407  0.000000  -0.037488  0.033086  0.000000  -0.325504  -0.945541  0.000000  0.000000
37  1  1.046337 25.725056  -0.069936  0.000000  0.048171  -0.013401  0.000000  0.181649  0.983363  0.000000  0.000000
38  1  0.853607 17.322978  1.595199  0.000000  0.003280  -0.049892  0.000000  0.392576  0.919719  0.000000  0.000000
39  1  0.872455 -28.625032  2.136993  0.000000  0.040333  0.029551  0.000000  -0.957644  -0.287956  0.000000  0.000000
40  1  0.973077 -8.725349  14.875457  0.000000  0.018196  0.046572  0.000000  -0.586536  0.809923  0.000000  0.000000
41  1  1.074543 -9.144115  -13.474609  0.000000  -0.037718  -0.032823  0.000000  -0.671873  0.740667  0.000000  0.000000
42  1  0.875643 -3.404936  22.663237  0.000000  -0.027614  -0.041683  0.000000  0.891789  -0.452451  0.000000  0.000000
43  1  1.044334 21.259756  12.145216  0.000000  -0.032379  -0.038099  0.000000  0.510097  0.860117  0.000000  0.000000
44  1  0.981376 -2.133161  6.980392  0.000000  0.028557  -0.041043  0.000000  -0.350442  0.936584  0.000000  0.000000
45  1  0.978512 3.238354  -26.695330  0.000000  0.037998  -0.032499  0.000000  0.324706  0.945815  0.000000  0.000000
46  1  0.883945 9.988466  2.541677  0.000000  0.047253  -0.016345  0.000000  -0.319586  0.947557  0.000000  0.000000
47  1  0.953656 -15.043825  26.029200  0.000000  -0.039480  -0.030681  0.000000  -0.644161  -0.764890  0.000000  0.000000
48  1  1.094733 -28.454346  -2.876067  0.000000  0.012998  -0.048281  0.000000  0.837337  0.546687  0.000000  0.000000
49  1  0.854360 -7.063887  -25.310791  0.000000  0.048890  0.010476  0.000000  -0.832378  0.554208  0.000000  0.000000
50  1  1.056472 -24.055794  -15.073505  0.000000  0.049531  0.006836  0.000000  -0.800964  -0.598713  0.000000  0.000000
51  1  1.019431 -28.705800  0.610413  0.000000  0.026887  -0.042155  0.000000  -0.638738  0.769424  0.000000  0.000000
52  1  0.960473 15.155808  -23.890367  0.000000  0.035613  -0.035096  0.000000  -0.123515  0.992343  0.000000  0.000000
53  1  0.950341 -29.313167  -6.709529  0.000000  0.049538  0.006783  0.000000  -0.775884  -0.630876  0.000000  0.000000
54  1  0.959871 -2.108984  10.873980  0.000000  0.004518  0.049795  0.000000  -0.523830  0.851823  0.000000  0.000000
55  1  1.148782 11.827216  7.574691  0.000000  0.005002  -0.049749  0.000000  0.987693  -0.156408  0.000000  0.000000
