# Total of 600 particles
# Generated on : 2015-02-09 19:07:42.042033
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz   omega
0  1  1.000000 11.075138  -4.393464  8.899104  -0.144336  -0.770943  -0.620334  -0.095969  -0.703829  -0.703857   0.000000
1  1  1.000000 9.407964  -7.265004  5.884086  0.241113  0.643033  -0.726893  0.526440  0.805520  -0.272028   0.000000
2  1  1.000000 3.852891  -7.038701  -6.756209  -0.853688  -0.422098  -0.305041  0.582853  0.421945  -0.694439   0.000000
3  1  1.000000 -6.277052  4.962426  -7.696342  0.576321  0.747358  -0.330620  0.417480  0.567490  -0.709694   0.000000
4  1  1.000000 10.857138  1.214389  2.295289  0.561978  0.248249  0.789021  -0.559582  0.477832  -0.677160   0.000000
5  1  1.000000 9.392331  4.778012  13.700093  0.625463  -0.727472  -0.282100  -0.146037  -0.784794  0.602305   0.000000
6  1  1.000000 -10.927190  4.529068  9.491083  0.482464  0.591606  0.645934  0.483645  0.614753  0.623030   0.000000
7  1  1.000000 -4.493364  -10.594914  10.920491  0.430345  0.321506  0.843467  -0.019418  0.518910  0.854608   0.000000
8  1  1.000000 -0.403454  10.513179  13.741892  -0.595829  0.491346  -0.635269  -0.991934  -0.100543  0.077185   0.000000
9  1  1.000000 1.950138  9.456046  -0.827665  0.987467  -0.135599  0.080763  -0.808861  -0.272294  -0.521152   0.000000
10  1  1.000000 -10.439922  -5.547906  5.473153  0.533425  -0.504689  -0.678783  -0.533581  0.797920  0.280383   0.000000
11  1  1.000000 11.856514  -0.085621  9.317624  -0.196018  -0.766229  0.611939  -0.291194  0.179672  0.939640   0.000000
12  1  1.000000 -0.893736  -9.240045  -1.750248  -0.500450  -0.504458  0.703613  0.993168  -0.114346  0.023268   0.000000
13  1  1.000000 10.273478  -6.201237  7.482832  -0.270938  -0.453807  0.848912  -0.316920  -0.520413  -0.792926   0.000000
14  1  1.000000 -4.474062  -10.960177  9.433833  0.440836  0.136369  0.887168  -0.905398  0.409526  0.111997   0.000000
15  1  1.000000 -5.760243  -8.595248  0.832413  -0.314582  0.766687  -0.559669  -0.805401  0.590522  -0.051117   0.000000
16  1  1.000000 0.499971  -10.710980  1.765113  -0.829056  0.319929  -0.458597  0.133684  0.614351  -0.777625   0.000000
17  1  1.000000 2.547775  -7.624689  -8.445603  0.336251  -0.051074  -0.940386  0.463318  0.000804  -0.886192   0.000000
18  1  1.000000 -9.066254  7.310067  4.616373  0.347459  0.800756  0.487916  -0.373549  0.219784  0.901197   0.000000
19  1  1.000000 2.028636  8.139198  -4.474771  0.965526  -0.258068  -0.034075  -0.944806  0.072118  -0.319596   0.000000
20  1  1.000000 7.809649  -8.447664  10.934508  0.377250  0.753506  0.538434  0.781673  0.603063  -0.159067   0.000000
21  1  1.000000 8.214326  0.445097  -5.206277  -0.117269  -0.896274  -0.427715  0.232605  0.680337  0.695008   0.000000
22  1  1.000000 -3.887432  10.346023  2.645346  -0.749111  -0.555797  -0.360448  0.212720  -0.539893  -0.814411   0.000000
23  1  1.000000 -9.180406  6.363377  12.015953  0.639713  0.755722  0.140186  -0.263043  -0.871952  0.412927   0.000000
24  1  1.000000 7.437249  -8.792612  10.891945  -0.205687  0.448440  0.869825  0.508346  0.742330  0.436498   0.000000
25  1  1.000000 7.663996  6.540385  14.819979  -0.737591  0.655561  0.161863  0.787870  -0.154363  -0.596182   0.000000
26  1  1.000000 0.841673  -8.006707  -8.578703  -0.352776  -0.209181  -0.912027  -0.937108  -0.157305  -0.311584   0.000000
27  1  1.000000 -9.385942  7.400330  6.456645  -0.634368  -0.751800  0.179927  0.492486  0.397525  -0.774229   0.000000
28  1  1.000000 -4.510703  10.307653  11.772181  0.194838  -0.511660  0.836805  0.927299  0.166726  0.335140   0.000000
29  1  1.000000 -6.682038  -4.421689  -6.964820  -0.552712  0.833292  0.011562  0.147410  -0.377969  0.914008   0.000000
30  1  1.000000 -8.768449  5.939873  1.432117  0.460558  0.876834  0.138017  0.623657  0.775008  -0.102053   0.000000
31  1  1.000000 -7.348445  6.481019  -14.517238  0.297081  -0.599569  0.743142  -0.809491  -0.246179  -0.533030   0.000000
32  1  1.000000 -6.514475  -9.611122  4.470980  0.863461  -0.456328  -0.214941  -0.864527  0.435470  0.250918   0.000000
33  1  1.000000 -7.229475  -9.227750  4.954703  0.077527  -0.520603  0.850272  -0.278646  -0.278757  0.919049   0.000000
34  1  1.000000 3.542689  -10.497470  12.278780  0.963733  0.242818  -0.110720  -0.903855  -0.405842  -0.135419   0.000000
35  1  1.000000 -7.212943  -9.451756  5.906059  -0.447655  0.577397  -0.682801  -0.336305  -0.067708  0.939316   0.000000
36  1  1.000000 11.163506  -0.308238  2.976994  -0.310411  -0.851970  -0.421654  -0.166852  0.944329  -0.283554   0.000000
37  1  1.000000 -0.579713  10.990801  12.483227  -0.788188  -0.387965  0.477749  0.376049  0.556828  -0.740628   0.000000
38  1  1.000000 9.334973  7.420087  6.185995  0.240305  0.052306  0.969287  -0.133912  0.484709  0.864364   0.000000
39  1  1.000000 -10.577373  -5.614027  6.742694  0.458808  -0.715896  -0.526296  0.038239  0.204048  -0.978214   0.000000
40  1  1.000000 8.284536  -1.868000  -4.076268  0.066382  -0.880489  0.469395  -0.321346  -0.925698  -0.199547   0.000000
41  1  1.000000 10.280426  -5.115394  11.012476  0.620230  0.580018  -0.528104  0.363373  -0.356150  -0.860882   0.000000
42  1  1.000000 4.336224  10.351288  11.858996  0.829542  0.052124  -0.556007  -0.573283  0.622812  -0.532403   0.000000
43  1  1.000000 6.137122  -5.625345  -10.261069  0.542622  0.022973  -0.839663  0.734557  0.469208  -0.490173   0.000000
44  1  1.000000 -8.703071  7.251869  3.468472  -0.533449  -0.824570  -0.188459  0.089949  -0.639226  -0.763740   0.000000
45  1  1.000000 -3.670366  -7.342038  -5.301184  0.566886  -0.541723  0.620626  0.502072  0.106257  -0.858273   0.000000
46  1  1.000000 -10.634356  -3.536443  11.906705  -0.610410  0.232880  -0.757077  -0.318177  0.948022  -0.004139   0.000000
47  1  1.000000 -6.111811  -5.168186  -7.802900  0.645698  -0.763593  -0.000015  -0.575216  0.638147  -0.511756   0.000000
48  1  1.000000 -6.104301  7.091600  -1.562827  -0.673695  -0.725753  -0.139344  -0.517225  0.365029  0.774101   0.000000
49  1  1.000000 2.771669  -10.713223  12.316103  -0.392810  0.474956  0.787475  0.328875  -0.501036  -0.800503   0.000000
50  1  1.000000 4.969532  -10.881999  8.419438  -0.908504  -0.417594  -0.015336  0.578981  0.122323  -0.806113   0.000000
51  1  1.000000 0.177139  10.397036  14.042131  -0.799564  -0.372919  0.470775  0.579486  -0.523043  0.624998   0.000000
52  1  1.000000 8.164311  1.183010  -5.089177  0.257708  -0.916853  0.304906  -0.133946  0.990711  0.023465   0.000000
53  1  1.000000 8.324792  2.347436  -3.539694  0.073753  -0.950287  -0.302513  -0.473286  -0.246815  -0.845626   0.000000
54  1  1.000000 -10.849380  1.175997  12.736734  0.598412  0.245478  0.762655  -0.603798  -0.101809  -0.790609   0.000000
55  1  1.000000 3.836719  -9.871879  13.567101  0.701812  0.601057  0.382348  -0.065587  -0.664591  -0.744323   0.000000
56  1  1.000000 -1.440030  11.783903  5.779579  0.170815  -0.261786  -0.949889  0.942953  0.016280  -0.332529   0.000000
57  1  1.000000 0.633433  8.583319  -3.680037  0.589967  0.384373  0.710068  -0.848178  0.317927  0.423694   0.000000
58  1  1.000000 8.357734  0.696960  -4.480649  0.279122  -0.865209  0.416539  0.399533  0.322347  0.858176   0.000000
59  1  1.000000 6.695624  8.267299  1.551692  -0.037053  -0.699296  -0.713871  0.686942  -0.710811  -0.151193   0.000000
60  1  1.000000 -7.910920  -3.389547  -3.680601  -0.275485  0.941222  -0.195475  -0.057409  -0.792483  0.607186   0.000000
61  1  1.000000 7.597744  -2.601285  -6.662119  -0.276387  -0.924998  0.260748  0.294194  0.488289  0.821598   0.000000
62  1  1.000000 -0.286354  -8.898122  -2.772790  -0.424820  -0.510322  0.747729  -0.596984  0.473201  -0.647835   0.000000
63  1  1.000000 -5.314786  -9.937959  11.715403  -0.198198  0.646635  0.736601  -0.545875  -0.286077  -0.787515   0.000000
64  1  1.000000 -11.626496  -1.628038  9.962128  -0.326119  0.792159  -0.515879  -0.054178  -0.900213  -0.432067   0.000000
65  1  1.000000 -7.742820  4.170751  -11.911617  -0.007174  -0.820038  0.572264  0.650515  0.647063  0.397667   0.000000
66  1  1.000000 -0.523582  -11.420435  3.811906  -0.808396  -0.269286  0.523432  0.261191  0.478635  -0.838265   0.000000
67  1  1.000000 5.548431  5.814656  -6.578648  0.560725  -0.649183  -0.513953  0.119861  -0.322855  -0.938828   0.000000
68  1  1.000000 -6.396148  -5.123223  -9.625977  -0.277482  -0.196363  -0.940450  -0.034624  -0.466800  -0.883685   0.000000
