# Total of 3183 particles
# Generated on : 2015-03-04 18:55:06.477162
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  1  1.000000 7.599710  -11.526709  0.000000  -0.565343  0.824856  0.000000  -0.393511  -0.919320  0.000000  0.000000
1  1  1.000000 10.533769  5.127458  0.000000  -0.791614  -0.611022  0.000000  -0.426203  0.904627  0.000000  0.000000
2  1  1.000000 20.333464  34.638012  0.000000  0.907450  0.420161  0.000000  -0.872175  -0.489194  0.000000  0.000000
3  1  1.000000 16.903737  -46.388446  0.000000  0.991783  -0.127931  0.000000  0.973020  -0.230722  0.000000  0.000000
4  1  1.000000 41.943803  -34.616790  0.000000  -0.844256  0.535941  0.000000  0.990627  0.136594  0.000000  0.000000
5  1  1.000000 -45.230615  -15.689363  0.000000  -0.288913  -0.957355  0.000000  -0.855465  -0.517860  0.000000  0.000000
6  1  1.000000 -37.708356  -43.275350  0.000000  0.027796  -0.999614  0.000000  0.930126  0.367241  0.000000  0.000000
7  1  1.000000 -23.292650  46.209294  0.000000  0.151727  0.988422  0.000000  0.623620  -0.781728  0.000000  0.000000
8  1  1.000000 17.422113  -37.201823  0.000000  0.209509  -0.977807  0.000000  0.183810  -0.982962  0.000000  0.000000
9  1  1.000000 15.267479  -6.751103  0.000000  -0.982550  0.185999  0.000000  -0.500812  0.865556  0.000000  0.000000
10  1  1.000000 20.576676  -16.870119  0.000000  -0.409344  0.912380  0.000000  0.275572  -0.961280  0.000000  0.000000
11  1  1.000000 18.217062  8.210877  0.000000  -0.429213  -0.903203  0.000000  0.415759  -0.909475  0.000000  0.000000
12  1  1.000000 3.476164  13.350643  0.000000  0.933121  0.359561  0.000000  -0.851964  0.523601  0.000000  0.000000
13  1  1.000000 -27.902975  48.463752  0.000000  0.364090  0.931364  0.000000  -0.990966  -0.134116  0.000000  0.000000
14  1  1.000000 -2.265759  -38.822185  0.000000  -0.876701  -0.481037  0.000000  -0.995523  0.094522  0.000000  0.000000
15  1  1.000000 -39.364020  32.266581  0.000000  -0.889879  0.456196  0.000000  0.974876  -0.222746  0.000000  0.000000
16  1  1.000000 39.373314  -1.054919  0.000000  -0.877902  -0.478840  0.000000  -0.475815  -0.879545  0.000000  0.000000
17  1  1.000000 6.796434  -16.111295  0.000000  -0.312787  0.949823  0.000000  -0.425988  -0.904729  0.000000  0.000000
18  1  1.000000 -24.432475  -25.523012  0.000000  0.688557  -0.725182  0.000000  -0.329957  0.943996  0.000000  0.000000
19  1  1.000000 -0.045499  17.620402  0.000000  -0.694178  -0.719804  0.000000  0.678180  -0.734896  0.000000  0.000000
20  1  1.000000 -37.540758  32.437976  0.000000  -0.490920  -0.871204  0.000000  0.765464  -0.643478  0.000000  0.000000
21  1  1.000000 41.760489  -27.379849  0.000000  0.540310  -0.841466  0.000000  0.563659  0.826008  0.000000  0.000000
22  1  1.000000 -36.388655  36.978412  0.000000  0.968272  -0.249899  0.000000  -0.898455  0.439066  0.000000  0.000000
23  1  1.000000 -18.999211  -10.490406  0.000000  -0.952011  -0.306065  0.000000  -0.964317  -0.264751  0.000000  0.000000
24  1  1.000000 48.262590  -7.726828  0.000000  -0.994055  -0.108881  0.000000  -0.575757  -0.817621  0.000000  0.000000
25  1  1.000000 -43.116410  -23.909764  0.000000  -0.764827  -0.644236  0.000000  0.997147  0.075482  0.000000  0.000000
26  1  1.000000 22.947663  19.389891  0.000000  0.997427  -0.071691  0.000000  -0.639796  0.768545  0.000000  0.000000
27  1  1.000000 -27.600123  -22.437558  0.000000  0.393194  0.919456  0.000000  -0.390637  -0.920545  0.000000  0.000000
28  1  1.000000 -0.390359  -35.162501  0.000000  -0.260458  -0.965485  0.000000  0.250914  0.968009  0.000000  0.000000
29  1  1.000000 -37.199329  3.628849  0.000000  0.538341  0.842727  0.000000  0.329182  -0.944266  0.000000  0.000000
30  1  1.000000 -43.427326  -3.100652  0.000000  -0.066943  0.997757  0.000000  0.618775  0.785568  0.000000  0.000000
31  1  1.000000 -24.182908  -1.305561  0.000000  -0.290547  0.956861  0.000000  0.879491  -0.475915  0.000000  0.000000
32  1  1.000000 19.516636  -7.140716  0.000000  -0.803338  0.595524  0.000000  -0.921368  -0.388692  0.000000  0.000000
33  1  1.000000 34.987206  -39.532150  0.000000  -0.019404  -0.999812  0.000000  0.186603  0.982435  0.000000  0.000000
34  1  1.000000 -36.941836  -31.407982  0.000000  0.546352  0.837556  0.000000  0.301260  0.953542  0.000000  0.000000
35  1  1.000000 -32.771143  4.487403  0.000000  -0.829897  -0.557917  0.000000  0.861199  -0.508269  0.000000  0.000000
36  1  1.000000 -48.127675  -40.571376  0.000000  0.961022  0.276471  0.000000  -0.955386  0.295360  0.000000  0.000000
37  1  1.000000 -28.355594  -30.555737  0.000000  -0.704226  -0.709976  0.000000  0.227709  -0.973729  0.000000  0.000000
38  1  1.000000 37.301197  -10.993015  0.000000  -0.211187  0.977446  0.000000  0.072783  -0.997348  0.000000  0.000000
39  1  1.000000 -13.865439  -35.993102  0.000000  0.475014  0.879978  0.000000  -0.727034  0.686602  0.000000  0.000000
40  1  1.000000 -30.135703  18.160949  0.000000  0.186052  -0.982540  0.000000  -0.902492  0.430707  0.000000  0.000000
41  1  1.000000 6.617530  -4.051134  0.000000  0.856999  -0.515318  0.000000  0.375356  0.926881  0.000000  0.000000
42  1  1.000000 47.878421  48.130396  0.000000  -0.076032  -0.997105  0.000000  -0.959928  -0.280248  0.000000  0.000000
43  1  1.000000 0.889430  -27.290243  0.000000  0.986866  -0.161540  0.000000  -0.232430  -0.972613  0.000000  0.000000
44  1  1.000000 -13.667064  15.160176  0.000000  -0.239495  0.970898  0.000000  -0.951381  -0.308016  0.000000  0.000000
45  1  1.000000 -12.471544  45.334831  0.000000  -0.367164  0.930156  0.000000  -0.977268  -0.212009  0.000000  0.000000
46  1  1.000000 -35.215367  -28.210746  0.000000  0.754034  0.656835  0.000000  0.949917  0.312501  0.000000  0.000000
47  1  1.000000 43.281590  47.302222  0.000000  -0.996800  -0.079930  0.000000  -0.951455  0.307788  0.000000  0.000000
48  1  1.000000 48.055954  3.602989  0.000000  0.227608  -0.973753  0.000000  0.874214  0.485541  0.000000  0.000000
49  1  1.000000 42.780369  -40.514571  0.000000  -0.559227  0.829015  0.000000  0.127803  0.991800  0.000000  0.000000
50  1  1.000000 48.147329  37.848060  0.000000  -0.250981  -0.967992  0.000000  0.313367  0.949632  0.000000  0.000000
51  1  1.000000 36.761021  -35.111035  0.000000  -0.775254  0.631649  0.000000  0.979967  -0.199158  0.000000  0.000000
52  1  1.000000 28.059560  -49.048088  0.000000  0.390714  0.920512  0.000000  -0.854874  0.518835  0.000000  0.000000
53  1  1.000000 -38.491153  -4.651118  0.000000  -0.229742  -0.973252  0.000000  -0.792619  0.609717  0.000000  0.000000
54  1  1.000000 -49.451920  30.477264  0.000000  -0.720611  0.693340  0.000000  -0.997477  0.070986  0.000000  0.000000
55  1  1.000000 25.032725  -46.335390  0.000000  -0.660273  0.751026  0.000000  0.102767  0.994705  0.000000  0.000000
56  1  1.000000 -28.497824  -37.660782  0.000000  0.766568  -0.642163  0.000000  0.586124  -0.810221  0.000000  0.000000
57  1  1.000000 22.909826  12.050221  0.000000  0.991071  -0.133338  0.000000  -0.754730  0.656035  0.000000  0.000000
58  1  1.000000 -37.935006  30.906057  0.000000  -0.825835  0.563912  0.000000  0.700943  -0.713217  0.000000  0.000000
59  1  1.000000 -20.354016  37.721864  0.000000  -0.499159  -0.866511  0.000000  -0.906516  -0.422172  0.000000  0.000000
60  1  1.000000 31.649377  37.563913  0.000000  0.981079  0.193610  0.000000  -0.496173  0.868224  0.000000  0.000000
61  1  1.000000 -36.908381  -5.874923  0.000000  0.928438  -0.371487  0.000000  -0.983160  -0.182748  0.000000  0.000000
62  1  1.000000 -18.768705  22.407245  0.000000  0.627707  0.778450  0.000000  -0.918017  -0.396541  0.000000  0.000000
63  1  1.000000 41.826912  46.863909  0.000000  0.750328  -0.661066  0.000000  -0.510546  0.859850  0.000000  0.000000
64  1  1.000000 -39.122145  -37.162006  0.000000  0.695080  -0.718932  0.000000  -0.971478  0.237131  0.000000  0.000000
65  1  1.000000 -1.214483  12.332363  0.000000  0.986416  0.164265  0.000000  -0.993162  -0.116745  0.000000  0.000000
66  1  1.000000 -1.870621  10.940289  0.000000  0.998912  -0.046633  0.000000  -0.720015  -0.693958  0.000000  0.000000
67  1  1.000000 -40.657789  -46.901305  0.000000  0.537307  0.843387  0.000000  0.377135  0.926158  0.000000  0.000000
68  1  1.000000 -10.398662  48.690669  0.000000  1.000000  -0.000461  0.000000  -0.974553  -0.224157  0.000000  0.000000
69  1  1.000000 4.149246  7.408481  0.000000  -0.864591  -0.502475  0.000000  0.814683  0.579906  0.000000  0.000000
70  1  1.000000 -47.634655  -0.952329  0.000000  0.781919  0.623380  0.000000  0.951909  -0.306382  0.000000  0.000000
71  1  1.000000 11.684652  31.617779  0.000000  0.525492  0.850799  0.000000  0.899285  0.437363  0.000000  0.000000
72  1  1.000000 -29.987142  -39.987479  0.000000  0.087360  0.996177  0.000000  0.962230  0.272239  0.000000  0.000000
73  1  1.000000 -2.054014  46.331581  0.000000  -0.898663  -0.438639  0.000000  -0.893678  -0.448709  0.000000  0.000000
