# Total of 316 particles
# Generated on : 2016-10-09 18:08:32.962659
keys: id  type radius  x   y   z   vx   vy   vz   nx   ny   nz
0  1  0.50 -6.558110  5.026877  5.632202  -0.502483  -0.847451  0.171282  -0.702893  -0.134411  -0.698481
1  1  0.50 -9.674719  -1.200317  -2.226894  0.147746  -0.982637  -0.112232  -0.109909  0.992286  -0.057352
2  1  0.50 -1.041030  2.608000  -9.597635  0.711971  0.693352  0.111181  -0.966732  0.200171  0.159252
3  1  0.50 -1.304628  -8.452370  5.182218  0.966134  0.008987  0.257883  0.990281  -0.136496  0.026674
4  1  0.50 7.783488  6.093085  -1.513815  -0.364541  0.634911  0.681174  -0.023240  0.268914  0.962884
5  1  0.50 -0.711977  0.091557  -9.974202  -0.177532  0.983876  0.021704  -0.288838  0.956926  0.029402
6  1  0.50 -3.029910  -8.213096  -4.833704  0.606503  -0.557420  0.566954  0.524317  -0.567211  0.635109
7  1  0.50 8.560139  -4.811935  1.889259  -0.253570  -0.072362  0.964607  0.455167  0.874826  0.165837
8  1  0.50 -6.102758  -6.927196  -3.843214  0.536517  -0.718356  0.442847  0.381767  0.167915  -0.908878
9  1  0.50 -9.176386  -3.763324  -1.277234  -0.077503  0.484676  -0.871253  -0.369963  0.691554  0.620387
10  1  0.50 -2.781765  -9.238027  -2.630711  -0.881036  0.354495  -0.313224  0.626129  -0.382093  0.679682
11  1  0.50 5.205931  3.489743  7.792303  0.813738  -0.479096  -0.329087  -0.822645  -0.039297  0.567196
12  1  0.50 4.223682  8.905721  -1.687793  -0.890143  0.442661  0.108151  0.881283  -0.447022  -0.153334
13  1  0.50 -2.207078  -2.606539  9.398657  0.273888  0.908292  0.316214  -0.781104  -0.529843  -0.330368
14  1  0.50 0.615824  9.965427  0.557699  0.280245  -0.070892  0.957307  -0.673647  0.000269  0.739053
15  1  0.50 6.719094  6.127543  -4.160167  0.735849  -0.488560  0.468867  0.131212  0.454335  0.881115
16  1  0.50 -4.236916  -4.071245  8.091570  0.045803  -0.901787  -0.429747  -0.275572  -0.793022  -0.543301
17  1  0.50 0.611090  -6.491346  -7.582150  0.259904  -0.723081  0.640003  -0.251627  -0.745119  0.617642
18  1  0.50 1.230828  2.521699  -9.598234  0.252655  0.927345  0.276036  0.989926  0.036999  0.136664
19  1  0.50 -6.273124  4.540117  6.327342  0.624466  0.778716  0.060356  0.602028  -0.232675  0.763823
20  1  0.50 4.397668  8.788619  -1.849514  0.709214  -0.213482  0.671893  0.683735  -0.461146  -0.565554
21  1  0.50 3.232555  -1.023218  9.407636  0.578296  0.808269  -0.110797  0.917585  0.276981  -0.285165
22  1  0.50 -8.846886  3.938932  -2.493477  -0.228264  -0.832377  -0.505018  -0.422830  -0.452745  0.785007
23  1  0.50 -3.663471  4.481553  8.154426  -0.726419  -0.685406  0.050337  -0.156196  0.834314  -0.528700
24  1  0.50 5.134070  8.549590  -0.738806  -0.785486  0.502862  0.360751  -0.084936  -0.035044  -0.995770
25  1  0.50 2.316546  -6.554256  7.188556  0.969688  0.214625  -0.116800  -0.609173  0.478396  0.632492
26  1  0.50 -2.242087  -9.688127  -1.055098  0.275227  -0.166807  0.946798  -0.778138  0.112790  0.617883
27  1  0.50 -9.035744  2.038456  3.768293  -0.376384  -0.797863  -0.470903  -0.403937  -0.698478  -0.590732
28  1  0.50 -0.153289  3.768338  9.261541  -0.499357  0.799594  -0.333604  0.516668  0.796004  -0.315327
29  1  0.50 -5.989569  -4.235846  -6.795783  0.383757  0.593014  -0.707859  0.023475  -0.857567  0.513836
30  1  0.50 -9.583807  2.620110  -1.133875  0.132055  0.758959  0.637607  -0.074569  0.153645  0.985308
31  1  0.50 -7.747636  6.227534  1.091769  -0.120251  0.024385  -0.992444  -0.565521  -0.759797  0.320774
32  1  0.50 3.383902  2.444377  -9.087036  0.395189  -0.913302  -0.098511  -0.686244  -0.596638  -0.416042
33  1  0.50 1.528682  -5.395306  8.279723  -0.197641  0.804203  0.560532  0.309365  -0.769584  -0.558601
34  1  0.50 8.204692  2.020109  -5.348101  0.316032  -0.939822  0.129841  0.074781  -0.965374  -0.249922
35  1  0.50 8.976915  4.305312  0.937702  0.358257  -0.837057  0.413507  -0.289878  0.737319  -0.610189
36  1  0.50 7.517092  -1.800879  -6.344301  0.251752  0.967503  0.023657  0.056950  -0.940675  0.334495
37  1  0.50 -5.620442  7.047932  -4.328658  -0.761465  -0.645246  -0.061885  -0.704759  -0.682013  -0.195379
38  1  0.50 5.376720  -8.207248  -1.931830  0.165418  -0.121987  0.978650  -0.482180  -0.111346  -0.868968
39  1  0.50 3.509745  0.043238  9.363750  0.198930  0.976818  -0.079074  -0.541359  0.816868  0.199142
40  1  0.50 -0.405242  7.902736  6.114127  -0.398393  -0.573950  0.715447  0.949714  0.220611  -0.222201
41  1  0.50 5.232300  8.059169  2.769987  0.852025  -0.501144  -0.151355  -0.585609  0.576168  -0.570169
42  1  0.50 -7.650697  -6.434920  -0.242142  0.516184  -0.590359  -0.620508  -0.068601  0.044059  0.996671
43  1  0.50 -6.657987  2.227909  7.120929  0.558283  -0.484414  0.673546  -0.477970  -0.860199  -0.177768
44  1  0.50 5.826424  1.287468  -8.024662  0.749343  -0.467380  0.469085  -0.780497  0.363944  -0.508301
45  1  0.50 8.881676  -4.042520  2.184918  0.182691  0.746926  0.639317  0.408579  0.912321  0.027100
46  1  0.50 -6.869231  -7.202431  -0.968843  -0.216924  0.330449  -0.918557  -0.176908  0.295031  -0.938968
47  1  0.50 -1.973677  9.792101  0.468353  -0.951138  -0.202844  0.232788  0.277630  0.101650  -0.955295
48  1  0.50 -2.949621  -5.871986  7.537872  -0.356135  -0.664481  -0.656988  0.915559  -0.399414  0.047122
49  1  0.50 2.561475  -9.114464  3.219533  0.550439  0.411323  0.726519  0.206779  -0.273690  -0.939328
50  1  0.50 -9.989070  0.452451  0.117317  0.026186  0.333811  0.942276  -0.006857  0.106426  -0.994297
51  1  0.50 -6.223326  7.465999  2.351398  -0.432869  -0.578547  0.691309  0.694812  0.665240  -0.273299
52  1  0.50 3.330271  7.124219  6.176958  -0.572768  -0.367536  0.732704  -0.613478  0.661187  -0.431829
53  1  0.50 -2.904527  1.327816  -9.476319  -0.334950  -0.941780  -0.029298  0.914493  -0.252996  -0.315745
54  1  0.50 -1.046991  -7.161391  6.900600  0.588339  -0.604030  -0.537592  0.568374  -0.612475  -0.549386
55  1  0.50 -7.625530  5.985300  2.455092  -0.519241  -0.792625  0.319584  -0.252043  0.074648  -0.964833
56  1  0.50 8.967977  -4.354176  0.785196  -0.403547  -0.732220  0.548637  -0.426196  -0.802511  0.417532
57  1  0.50 -3.770785  4.457250  8.118750  -0.227144  -0.894318  0.385489  -0.390713  0.718213  -0.575772
58  1  0.50 7.841067  -3.303655  5.253907  -0.148140  -0.921708  -0.358481  -0.620242  -0.446896  0.644657
59  1  0.50 3.774700  1.902368  9.062706  0.884151  -0.364997  -0.291640  0.886476  -0.357180  -0.294249
60  1  0.50 -2.341624  -9.589373  1.600225  0.942798  -0.183812  0.278108  -0.768972  0.081976  -0.634004
61  1  0.50 -1.863680  -4.320968  8.823601  -0.927776  0.372898  -0.013350  -0.145955  -0.875953  -0.459787
62  1  0.50 -0.187381  -6.330095  7.739172  -0.130669  -0.765864  -0.629586  -0.838407  -0.411770  -0.357098
63  1  0.50 -3.388301  -7.198176  -6.058521  -0.075533  -0.621053  0.780121  -0.602476  -0.328600  0.727355
64  1  0.50 4.036009  -8.899153  2.125018  -0.513591  -0.412576  -0.752333  0.151623  -0.163992  -0.974740
65  1  0.50 6.546285  6.197496  -4.328648  0.009217  0.566023  0.824338  0.238037  -0.712474  -0.660090
66  1  0.50 -3.640973  -9.313504  -0.044207  0.017212  -0.001983  -0.999850  0.721982  -0.285240  0.630380
67  1  0.50 6.619928  6.386207  3.923380  -0.205302  -0.348937  0.914382  -0.739624  0.641350  0.204025
68  1  0.50 4.905093  -1.751950  8.536435  0.841411  0.350138  -0.411621  -0.695666  -0.668688  0.262498
69  1  0.50 2.676974  -9.623193  -0.477460  0.645460  0.215904  -0.732644  0.552182  0.193838  -0.810877
70  1  0.50 -2.534599  -9.647289  0.711076  0.079072  -0.093924  -0.992434  0.260337  -0.138824  -0.955485
71  1  0.50 -4.040967  8.095112  4.259078  -0.409745  -0.576485  0.706947  -0.567987  0.142915  -0.810534
72  1  0.50 -4.280695  -5.915384  6.832561  -0.480137  -0.491648  -0.726464  -0.884761  0.120155  -0.450290
73  1  0.50 -4.985764  0.492092  8.654479  -0.047979  0.995290  -0.084232  -0.490063  -0.839528  -0.234585
74  1  0.50 -4.775780  -7.180389  5.062997  -0.443193  0.694460  0.566838  0.847615  -0.528211  0.050417
75  1  0.50 5.350078  1.437334  8.325307  0.013720  -0.986770  0.161546  -0.226111  -0.925114  0.305023
76  1  0.50 5.794198  6.114483  -5.388911  0.352538  0.408115  0.842116  -0.813597  0.473107  -0.337979
77  1  0.50 0.172175  9.310756  -3.644198  0.346879  -0.347399  -0.871200  0.468020  -0.329584  -0.819958
