# Total of 3183 particles
# Generated on : 2014-02-21 16:50:10.433376
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  1  1.000000 -34.934575  30.854848  0.000000  0.685778  0.727811  0.000000  0.935278  -0.353913  0.000000  0.000000
1  1  1.000000 -48.396971  46.686006  0.000000  -0.437281  0.899325  0.000000  -0.220551  -0.975375  0.000000  0.000000
2  1  1.000000 -22.763927  14.830024  0.000000  -0.395901  -0.918293  0.000000  -0.714598  0.699535  0.000000  0.000000
3  1  1.000000 46.458270  30.800179  0.000000  -0.704827  0.709379  0.000000  -0.546956  -0.837161  0.000000  0.000000
4  1  1.000000 -44.646404  27.305510  0.000000  -0.976756  0.214355  0.000000  0.974209  0.225649  0.000000  0.000000
5  1  1.000000 -4.071852  -48.893334  0.000000  -0.992050  0.125844  0.000000  -0.205208  0.978718  0.000000  0.000000
6  1  1.000000 42.860119  -36.991652  0.000000  0.804373  0.594125  0.000000  0.132627  -0.991166  0.000000  0.000000
7  1  1.000000 39.307280  -17.838257  0.000000  0.360834  0.932630  0.000000  -0.257983  -0.966149  0.000000  0.000000
8  1  1.000000 -36.768709  -16.302640  0.000000  0.635167  0.772375  0.000000  0.924953  0.380082  0.000000  0.000000
9  1  1.000000 -25.083001  40.223879  0.000000  -0.970958  0.239250  0.000000  -0.417386  0.908729  0.000000  0.000000
10  2  1.000000 35.957162  14.853390  0.000000  0.889467  -0.457000  0.000000  -0.598666  -0.800999  0.000000  0.000000
11  2  1.000000 8.133632  -44.730516  0.000000  -0.633179  0.774006  0.000000  -0.140816  -0.990036  0.000000  0.000000
12  2  1.000000 -8.138082  21.161507  0.000000  0.607464  -0.794347  0.000000  0.401284  -0.915954  0.000000  0.000000
13  2  1.000000 -25.116841  46.081873  0.000000  -0.927107  0.374797  0.000000  -0.726006  -0.687688  0.000000  0.000000
14  2  1.000000 -41.601529  14.285004  0.000000  -0.249320  0.968421  0.000000  0.494348  0.869264  0.000000  0.000000
15  2  1.000000 -8.268141  3.647652  0.000000  0.838334  -0.545157  0.000000  -0.854788  0.518978  0.000000  0.000000
16  2  1.000000 -44.479101  13.849911  0.000000  0.741983  0.670419  0.000000  0.551338  0.834282  0.000000  0.000000
17  2  1.000000 47.138086  1.713805  0.000000  -0.830507  -0.557008  0.000000  -0.792756  0.609539  0.000000  0.000000
18  2  1.000000 28.144500  22.435428  0.000000  0.692156  -0.721748  0.000000  -0.637669  0.770311  0.000000  0.000000
