# Total of 3577 particles
# Generated on : 2014-01-30 11:51:51.974574
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz  omega
0  1  1.000000 -39.378876  7.480360  0.000000  -0.664035  0.747701  0.000000  -0.992579  0.121601  0.000000  0.000000
1  1  1.000000 28.041601  17.235671  0.000000  -0.110023  -0.993929  0.000000  -0.270884  -0.962612  0.000000  0.000000
2  1  1.000000 -8.268317  -5.745919  0.000000  0.945920  -0.324400  0.000000  0.457831  -0.889039  0.000000  0.000000
3  1  1.000000 -36.884940  31.639463  0.000000  -0.070332  0.997524  0.000000  -0.873534  -0.486763  0.000000  0.000000
4  1  1.000000 6.464411  -0.049061  0.000000  0.853370  -0.521305  0.000000  -0.988167  0.153379  0.000000  0.000000
5  1  1.000000 -45.641482  1.962782  0.000000  -0.744740  -0.667355  0.000000  -0.999286  -0.037794  0.000000  0.000000
6  1  1.000000 5.229645  -12.851015  0.000000  -0.932842  0.360287  0.000000  0.968602  0.248615  0.000000  0.000000
7  1  1.000000 49.787214  -24.497679  0.000000  -0.713018  -0.701146  0.000000  0.868939  -0.494920  0.000000  0.000000
8  1  1.000000 -31.697499  -47.057094  0.000000  0.888229  0.459401  0.000000  -0.460625  0.887595  0.000000  0.000000
9  1  1.000000 -5.391188  -6.361038  0.000000  -0.905754  0.423803  0.000000  -0.623475  -0.781843  0.000000  0.000000
10  1  1.000000 23.865131  -33.973785  0.000000  -0.051322  -0.998682  0.000000  0.563164  0.826345  0.000000  0.000000
11  1  1.000000 -33.431573  1.698116  0.000000  0.548117  0.836402  0.000000  0.961198  0.275858  0.000000  0.000000
12  1  1.000000 -36.555488  17.236018  0.000000  0.994154  -0.107973  0.000000  -0.959805  0.280667  0.000000  0.000000
13  1  1.000000 -41.810291  26.877196  0.000000  0.434056  0.900886  0.000000  -0.996010  -0.089247  0.000000  0.000000
14  1  1.000000 -15.732112  8.165346  0.000000  -0.222681  0.974891  0.000000  -0.764847  -0.644212  0.000000  0.000000
15  1  1.000000 -31.443424  -52.200952  0.000000  -0.032510  -0.999471  0.000000  -0.513442  0.858124  0.000000  0.000000
16  1  1.000000 -35.802827  9.527469  0.000000  0.149056  -0.988829  0.000000  -0.776589  0.630008  0.000000  0.000000
17  1  1.000000 36.397299  14.411206  0.000000  -0.990263  -0.139209  0.000000  -0.497172  -0.867652  0.000000  0.000000
18  1  1.000000 -29.500776  -17.756896  0.000000  0.119722  -0.992807  0.000000  0.997576  -0.069590  0.000000  0.000000
19  1  1.000000 46.470616  45.981802  0.000000  0.759716  0.650255  0.000000  0.786134  -0.618056  0.000000  0.000000
20  1  1.000000 -16.387959  44.082314  0.000000  0.028147  -0.999604  0.000000  -0.878312  0.478087  0.000000  0.000000
21  1  1.000000 -23.500805  -47.888129  0.000000  -0.669999  -0.742362  0.000000  -0.226542  0.974002  0.000000  0.000000
22  1  1.000000 14.063537  -22.103104  0.000000  0.310922  0.950435  0.000000  0.283460  0.958984  0.000000  0.000000
23  1  1.000000 -4.594602  3.748408  0.000000  -0.879368  0.476143  0.000000  -0.029871  0.999554  0.000000  0.000000
24  1  1.000000 8.716296  -29.041225  0.000000  -0.338937  0.940809  0.000000  0.536028  0.844200  0.000000  0.000000
25  1  1.000000 32.009654  2.513496  0.000000  -0.676055  -0.736851  0.000000  -0.946080  -0.323933  0.000000  0.000000
26  1  1.000000 -43.234692  25.538015  0.000000  0.982088  -0.188421  0.000000  0.982248  -0.187585  0.000000  0.000000
27  1  1.000000 44.894387  5.347084  0.000000  -0.165096  -0.986278  0.000000  -0.148248  0.988950  0.000000  0.000000
28  1  1.000000 3.247733  34.168125  0.000000  0.439190  -0.898394  0.000000  -0.028760  -0.999586  0.000000  0.000000
29  1  1.000000 -42.044554  -0.733780  0.000000  0.002197  -0.999998  0.000000  -0.828372  0.560178  0.000000  0.000000
30  1  1.000000 30.674539  10.978850  0.000000  -0.799498  0.600669  0.000000  0.372440  -0.928056  0.000000  0.000000
31  1  1.000000 -9.047768  18.691525  0.000000  0.708808  0.705402  0.000000  0.166569  -0.986030  0.000000  0.000000
