# Total of 400 particles
# Generated on : 2014-02-21 17:02:39.075464
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz   omega
0  1  1.000000 -6.450032  5.859790  4.905095  0.276975  0.777496  -0.564610  -0.052575  -0.674384  0.736507   0.000000
1  1  1.000000 5.316579  -2.292452  -8.153444  -0.719798  -0.629632  -0.292325  -0.304724  0.846433  -0.436686   0.000000
2  1  1.000000 2.351606  6.948568  -6.796127  -0.418211  -0.558848  -0.716093  -0.584158  0.659886  0.472557   0.000000
3  1  1.000000 7.851946  2.452507  5.686137  -0.619205  0.321867  0.716230  0.618973  -0.283417  -0.732494   0.000000
4  1  1.000000 6.182458  5.723748  5.386642  0.777837  -0.347131  -0.523899  0.776527  -0.550802  -0.305978   0.000000
5  1  1.000000 -7.317349  0.633698  6.786371  0.480349  -0.658438  0.579416  -0.634937  0.298652  -0.712504   0.000000
6  1  1.000000 1.949753  1.666734  -9.665426  0.934626  0.267257  0.234623  -0.360333  0.928715  0.087462   0.000000
7  1  1.000000 -8.679843  -4.364528  -2.368800  0.032276  0.426420  -0.903949  0.119699  -0.646830  0.753182   0.000000
8  1  1.000000 8.423470  2.893330  -4.546845  0.485685  -0.773201  0.407762  -0.523257  0.641083  -0.561439   0.000000
9  1  1.000000 -4.388485  -4.093176  7.999194  -0.481977  -0.644095  -0.594003  -0.895545  0.272108  -0.352073   0.000000
10  1  1.000000 -6.143587  2.627207  7.440035  -0.535672  0.553455  -0.637764  -0.726187  0.180493  -0.663382   0.000000
11  1  1.000000 -8.374627  5.430864  0.609380  0.494827  0.800885  -0.337238  -0.371773  -0.484432  -0.791903   0.000000
12  1  1.000000 -5.463060  -8.372061  -0.252138  -0.130181  0.055134  0.989956  -0.614757  0.421232  -0.666812   0.000000
13  1  1.000000 -7.622566  -4.141060  4.974748  0.244110  -0.895732  -0.371584  0.215342  0.562545  0.798230   0.000000
14  1  1.000000 -4.456715  8.841422  -1.402477  -0.771252  -0.458762  -0.441257  -0.032734  -0.172657  -0.984438   0.000000
15  1  1.000000 -4.855751  -2.712473  -8.310486  -0.351590  -0.809774  0.469735  0.705311  -0.683207  -0.189114   0.000000
16  1  1.000000 6.715265  -3.053854  6.751236  -0.408643  -0.912672  -0.006372  -0.618677  -0.732503  0.284040   0.000000
17  1  1.000000 4.543412  8.493479  2.686674  0.829942  -0.513163  0.218772  0.851634  -0.502601  0.148700   0.000000
18  1  1.000000 7.109484  5.612135  -4.237826  -0.697194  0.641355  -0.320287  0.625871  -0.230146  0.745197   0.000000
19  1  1.000000 2.145482  -8.251104  -5.226489  -0.128369  -0.554289  0.822365  -0.549356  0.340501  -0.763064   0.000000
20  1  1.000000 7.950411  -5.770530  1.868674  0.314780  0.655874  0.686107  0.512141  0.473566  -0.716552   0.000000
21  1  1.000000 -8.437320  4.216446  -3.321628  -0.525864  -0.773395  0.354016  -0.151720  -0.780927  -0.605916   0.000000
22  1  1.000000 1.170746  5.771101  -8.082311  -0.218263  0.808882  0.545959  0.938269  0.202453  0.280471   0.000000
23  1  1.000000 3.979740  -4.636958  -7.915825  -0.745255  0.339773  -0.573716  0.465671  -0.641325  0.609797   0.000000
24  1  1.000000 -0.046775  9.442692  -3.291410  -0.965409  -0.090072  -0.244688  -0.027289  0.328901  0.943970   0.000000
25  1  1.000000 4.097800  9.027462  -1.308807  0.246185  0.028707  0.968798  -0.194754  0.226756  0.954281   0.000000
26  1  1.000000 -4.689080  8.171845  3.351639  0.610461  0.025605  0.791632  0.347364  0.519509  -0.780672   0.000000
27  1  1.000000 0.399440  -2.066713  9.775947  0.751656  0.650838  0.106880  0.999096  -0.005982  -0.042087   0.000000
28  1  1.000000 5.903618  0.800480  -8.031596  -0.716505  0.510108  -0.475826  -0.572156  0.743366  -0.346474   0.000000
29  1  1.000000 -6.383372  -0.677400  7.667704  -0.538263  0.751372  -0.381725  0.622473  -0.631417  0.462427   0.000000
30  1  1.000000 9.685187  -0.059717  2.488693  0.025092  0.996963  -0.073727  -0.147951  0.790189  0.594737   0.000000
31  1  1.000000 -8.148410  -5.193127  2.575818  -0.093507  0.556279  0.825718  0.300641  0.001329  0.953736   0.000000
32  1  1.000000 -8.607486  -5.080656  0.313224  0.474784  -0.779130  0.409312  0.394267  -0.704346  -0.590297   0.000000
33  1  1.000000 0.660946  -7.090166  -7.020876  -0.651618  -0.563539  0.507757  -0.230077  0.673836  -0.702146   0.000000
34  1  1.000000 -2.721178  0.794982  -9.589744  -0.036387  -0.996719  -0.072302  0.453500  -0.868371  -0.200672   0.000000
35  1  1.000000 6.073328  0.054070  7.944292  -0.374358  0.883944  0.280176  0.324607  -0.914384  -0.241935   0.000000
36  1  1.000000 -0.928454  -7.989317  -5.942120  -0.564865  0.533721  -0.629341  0.473327  0.489628  -0.732274   0.000000
37  1  1.000000 -2.907074  -4.575144  -8.403391  0.301497  0.789726  -0.534259  0.500428  0.675867  -0.541088   0.000000
38  1  1.000000 3.748866  7.249451  -5.778534  -0.849446  0.518282  0.099125  -0.346094  0.687687  0.638205   0.000000
39  1  1.000000 0.551268  9.979566  0.323066  -0.449492  0.053696  -0.891669  0.956691  -0.062055  0.284416   0.000000
40  1  1.000000 4.782005  -8.663466  -1.441104  -0.443945  -0.380029  0.811475  0.333984  0.027627  0.942174   0.000000
41  1  1.000000 9.793924  -1.750086  1.008097  0.171281  0.455231  -0.873743  0.104571  0.012380  -0.994440   0.000000
42  1  1.000000 -8.328580  5.173126  1.968128  0.306721  0.135379  0.942122  0.454608  0.842196  -0.289894   0.000000
43  1  1.000000 -4.959461  -2.005517  -8.448766  -0.198159  0.973430  -0.114747  -0.824992  -0.194792  0.530513   0.000000
44  1  1.000000 2.321329  -9.726798  -0.029011  0.907509  0.217651  -0.359244  -0.007738  0.001136  -0.999969   0.000000
45  1  1.000000 5.208553  -8.115552  -2.647413  -0.506549  -0.543461  0.669372  -0.456880  -0.526995  0.716614   0.000000
46  1  1.000000 9.728752  -2.272457  0.432801  0.037246  0.338525  0.940220  0.004535  -0.168320  -0.985722   0.000000
47  1  1.000000 7.697449  -3.759906  -5.158720  -0.357919  0.414944  -0.836490  0.567943  0.034430  0.822347   0.000000
48  1  1.000000 3.789717  -2.299691  8.963787  0.828686  -0.346803  -0.439326  -0.040501  -0.971824  -0.232202   0.000000
49  1  1.000000 4.072630  -6.872388  -6.015311  0.543388  -0.347043  0.764389  0.851826  0.523393  -0.021244   0.000000
50  1  1.000000 -3.426357  7.599261  -5.523704  0.495024  -0.353679  -0.793639  -0.243457  0.496052  0.833463   0.000000
51  1  1.000000 -6.190435  0.666409  7.825242  0.774242  -0.115253  0.622307  0.775223  -0.107695  0.622439   0.000000
52  1  1.000000 7.393347  -2.780507  6.132471  -0.646797  -0.546455  0.532016  0.447370  -0.477828  -0.756003   0.000000
53  1  1.000000 0.726574  6.989549  -7.114654  0.997288  -0.042504  0.060090  -0.953125  -0.161423  -0.255921   0.000000
54  1  1.000000 1.529837  -6.546566  -7.402842  0.106460  -0.733825  0.670945  -0.988222  -0.104124  -0.112141   0.000000
55  1  1.000000 -4.564927  -6.127570  -6.450916  -0.774234  0.630816  -0.051318  -0.176025  0.772912  -0.609608   0.000000
56  1  1.000000 -2.817198  -8.562465  4.329849  -0.730816  0.483891  0.481413  -0.855454  0.428517  0.290813   0.000000
57  1  1.000000 -5.401294  2.336523  8.084967  -0.785383  0.205228  -0.583998  0.625542  0.754130  0.199963   0.000000
58  1  1.000000 6.369867  -5.768359  5.113789  0.728237  0.232721  -0.644601  0.683348  0.115513  -0.720897   0.000000
59  1  1.000000 6.989684  2.217478  6.799052  0.704562  -0.376531  -0.601512  0.589631  -0.716687  -0.372419   0.000000
60  1  1.000000 -6.740399  7.382742  -0.249294  0.402651  0.338905  -0.850303  -0.168330  -0.186370  -0.967952   0.000000
61  1  1.000000 -6.103306  -7.921413  0.029670  0.156167  -0.116650  0.980818  -0.062260  0.044236  -0.997079   0.000000
62  1  1.000000 9.705191  2.382327  0.365769  -0.241024  0.959527  0.145658  -0.119397  0.343373  0.931579   0.000000
63  1  1.000000 5.629632  7.220086  -4.022138  0.249499  0.315488  0.915542  -0.256373  0.615207  0.745515   0.000000
64  1  1.000000 -3.452241  -4.596174  8.182739  -0.122142  0.886464  0.446388  0.900357  -0.408291  0.150521   0.000000
65  1  1.000000 -1.875854  3.646908  9.120374  0.982174  0.081068  0.169595  0.591749  0.783067  -0.191411   0.000000
66  1  1.000000 -6.509020  -0.176986  -7.589554  -0.503740  0.758000  0.414345  -0.399318  -0.842273  0.362108   0.000000
67  1  1.000000 -1.933334  9.619591  -1.930205  0.943354  0.236323  0.232884  -0.061553  0.184453  0.980912   0.000000
68  1  1.000000 -0.033522  -4.459971  8.950281  0.999852  -0.016600  -0.004527  0.661505  -0.672208  -0.332487   0.000000
69  1  1.000000 2.302756  3.977645  8.881197  -0.513797  0.824765  -0.236170  0.238977  -0.907814  0.344622   0.000000
70  1  1.000000 5.710818  -8.072234  -1.491843  0.215715  -0.027777  0.976061  -0.791563  -0.493363  -0.360583   0.000000
