# Total of 3600 particles
# Generated on : 2014-01-30 17:48:36.676233
# id  type radius  x   y   z   vx   vy   vz   nx   ny   nz   omega
0  1  1.000000 -5.667985  -29.398749  1.894072  0.279548  0.007960  0.960099  0.394253  -0.134581  -0.909094   0.000000
1  1  1.000000 24.234614  -9.114644  -15.152780  -0.587288  -0.487842  -0.645835  0.566913  0.635068  0.524689   0.000000
2  1  1.000000 0.816290  -29.868346  2.686180  -0.564879  -0.089214  -0.820337  0.104151  -0.086261  -0.990814   0.000000
3  1  1.000000 14.527699  -25.330200  -6.879457  0.851228  0.394082  0.346569  -0.655424  -0.176462  -0.734357   0.000000
4  1  1.000000 -12.146488  22.482812  15.715788  -0.913119  -0.361331  -0.188821  -0.879328  -0.476213  0.001645   0.000000
5  1  1.000000 -2.248987  26.013271  -14.773347  -0.972599  0.045406  0.228013  -0.035532  -0.495844  -0.867685   0.000000
6  1  1.000000 -3.846823  -24.401825  -17.022130  -0.883725  0.353369  -0.306854  0.002316  -0.572371  0.819991   0.000000
7  1  1.000000 -8.259258  -17.912900  -22.603377  0.808998  -0.567290  0.153963  -0.779845  -0.319601  0.538235   0.000000
8  1  1.000000 -5.276084  28.789797  6.581075  -0.797738  -0.008367  -0.602947  0.063173  -0.211381  0.975360   0.000000
9  1  1.000000 2.088653  0.407571  -29.924428  -0.562336  -0.825366  -0.050491  -0.729426  -0.681407  -0.060193   0.000000
10  1  1.000000 19.916948  20.217387  -9.724837  0.672510  -0.727610  -0.135327  -0.747457  0.611556  -0.259437   0.000000
11  1  1.000000 -6.091311  -29.356346  -1.049217  -0.104944  -0.013764  0.994383  0.104342  0.013892  -0.994444   0.000000
12  1  1.000000 -9.771119  -2.589786  -28.245677  -0.281093  0.959636  0.009253  -0.645864  -0.706947  0.288244   0.000000
13  1  1.000000 13.856104  11.867603  -23.815297  -0.746758  -0.309490  -0.588700  0.787018  -0.595513  0.161144   0.000000
14  1  1.000000 20.025314  -10.910513  -19.492242  0.676690  -0.067791  0.733141  -0.382645  0.581022  -0.718329   0.000000
15  1  1.000000 -28.087509  -10.375205  1.856605  -0.347367  0.884807  -0.310568  -0.331364  0.810688  -0.482683   0.000000
16  1  1.000000 27.535705  11.906521  0.140368  0.395517  -0.915556  0.072967  0.396810  -0.917290  -0.033489   0.000000
17  1  1.000000 -5.898352  -4.624443  29.048648  -0.816690  -0.520723  -0.248727  -0.940326  -0.250086  -0.230747   0.000000
18  1  1.000000 -18.919265  -7.019843  22.198722  -0.774059  0.258312  -0.578020  0.704764  -0.571909  0.419795   0.000000
19  1  1.000000 -22.339919  -19.691781  3.627916  0.092240  0.078238  0.992658  0.635373  -0.641669  0.429606   0.000000
20  1  1.000000 28.670288  -2.252015  8.540669  0.012959  0.976738  0.214045  -0.190554  0.579405  0.792451   0.000000
21  1  1.000000 -17.234202  -3.919729  -24.240833  -0.684147  -0.465301  0.561638  -0.317032  0.945641  0.072487   0.000000
